age_group,arc_degree_simplicity
20-29,0.6000000000000001
30-39,0.6986301369863015
40-49,0.34265734265734266
50-59,0.21079691516709512
60-69,0.20238095238095238
70-79,0.19895287958115185
80-89,0.2926829268292683
90-99,1.0
Overall,0.18938053097345134
