,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,Overall
20-29,0.8,0.6857142857142857,0.8148148148148149,0.782608695652174,0.875,0.7777777777777778,0.72,0.8571428571428572,0.8181818181818181
30-39,0.6666666666666667,0.8461538461538461,0.8979591836734694,0.9130434782608696,0.875,0.9032258064516129,0.7058823529411764,0.9230769230769231,0.9230769230769231
40-49,0.7912087912087912,0.7553191489361702,0.9,0.8524590163934427,0.9534883720930233,0.8723404255319149,0.7121212121212122,0.8157894736842105,0.896551724137931
50-59,0.8616600790513834,0.7553956834532374,0.9447004608294931,1.0,0.95625,0.981042654028436,0.7892857142857143,0.7711442786069651,0.978448275862069
60-69,0.8919667590027701,0.7955112219451371,0.9426751592356688,0.926829268292683,0.946236559139785,0.9866666666666667,0.8571428571428572,0.9812206572769953,0.9552631578947368
70-79,0.9122807017543859,0.8169934640522876,0.9516129032258065,0.9330855018587361,0.9502762430939227,0.9769230769230769,0.865625,0.9666666666666667,0.9540636042402827
80-89,0.9020618556701031,0.8097560975609757,0.9651162790697675,0.9459459459459459,0.9745762711864406,0.9870967741935484,0.8165467625899281,0.9855072463768116,0.9827586206896551
90-99,0.6,0.5,0.6,0.625,0.75,0.7142857142857143,0.5,1.0,0.7142857142857143
Overall,0.9110266159695818,0.9586056644880174,0.9775179856115108,1.0,0.9684848484848485,0.9941690962099126,0.8884180790960452,0.9438339438339438,0.9832635983263598
