age_group,arc_degree_simplicity
20-29,0.411764705882353
30-39,0.6790123456790124
40-49,0.5448275862068965
50-59,0.43956043956043955
60-69,0.2603406326034063
70-79,0.30000000000000004
80-89,0.5087719298245613
90-99,1.0
Overall,0.19141323792486584
