,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,Overall
20-29,1.0,0.7976190476190477,0.7272863568215893,0.6982649174777824,0.6204906204906205,0.7300053918044572,0.7742830712303423,0.7941176470588236,0.6788217777426411
30-39,0.8333333333333334,0.8957199032062917,0.865145128843759,0.8405867724156473,0.5874413145539905,0.7800857638149691,0.8816473410635746,0.7551020408163265,0.8828860377999215
40-49,0.7663067837274908,0.769579765212953,0.7956802383316782,0.7550322580645161,0.5612982032152989,0.7223555576147894,0.7908597871901435,0.8,0.745191590875205
50-59,0.7181923664293155,0.7343277588813303,0.7497336079140576,0.769567329067677,0.6193877776144999,0.7398561591604276,0.7901182398031916,0.7888563049853372,0.7797140239411499
60-69,0.7120413501755565,0.7405014803070058,0.6810349122582162,0.6830548066603221,0.6601876247494292,0.7145572150872646,0.8096056514988088,0.7854166666666667,0.8019275761285931
70-79,0.7437334752767799,0.7603391474039483,0.7107042492670723,0.7247479442770919,0.6496021559654888,0.7462973390719168,0.8508588186007542,0.7898936170212766,0.8221014967594527
80-89,0.7361479683059492,0.7346619106699752,0.7296321964370222,0.7611369519775184,0.5484511187467207,0.6799461321166648,0.8974865267929729,0.7976190476190477,0.7687600963150355
90-99,0.7388888888888889,0.7777777777777778,0.7663043478260869,0.8474074074074074,0.4779503105590062,0.8053571428571429,1.0,1.0,0.8156108597285068
Overall,0.7365775362450524,0.7504614186911747,0.7229277207401225,0.7312357664051634,0.6260769092591918,0.7260708721764897,0.8273835259791967,0.790470372632865,0.7938019151914708
