age_group,arc_degree_simplicity
20-29,0.7802197802197802
30-39,0.7749999999999999
40-49,0.6050420168067228
50-59,0.5084033613445378
60-69,0.47465437788018433
70-79,0.4938271604938272
80-89,0.5784313725490197
90-99,1.0
Overall,0.43415637860082307
