tested_at,dependency_threshold,and_threshold,combo_score,valid
2026-06-21 19:51:40.111159,0.1,0.3,14.987910997477012,True
2026-06-21 19:51:47.516751,0.1,0.4,14.874511169561803,True
2026-06-21 19:51:55.215130,0.1,0.5,15.054644062698056,True
2026-06-21 19:52:04.372593,0.1,0.6,15.115116771923288,True
2026-06-21 19:52:12.407383,0.1,0.65,15.156783137626917,True
2026-06-21 19:52:21.305737,0.1,0.7,14.935902736904751,True
2026-06-21 19:52:29.036153,0.1,0.8,14.942944017661395,True
2026-06-21 19:52:37.004952,0.1,0.9,14.765227088898824,True
2026-06-21 19:52:45.275132,0.1,1.0,14.771476164044486,True
2026-06-21 19:52:52.383326,0.2,0.3,15.015687896270977,True
2026-06-21 19:52:59.938189,0.2,0.4,14.959135095326785,True
2026-06-21 19:53:07.620918,0.2,0.5,15.063778952358835,True
2026-06-21 19:53:14.976992,0.2,0.6,15.150602839840897,True
2026-06-21 19:53:21.824467,0.2,0.65,15.17665789439933,True
2026-06-21 19:53:28.592145,0.2,0.7,14.993884160224535,True
2026-06-21 19:53:35.690922,0.2,0.8,15.009643228180781,True
2026-06-21 19:53:43.632430,0.2,0.9,14.831631775388331,True
2026-06-21 19:53:51.202586,0.2,1.0,14.815425831398649,True
2026-06-21 19:53:57.408951,0.3,0.3,15.0208627327227,True
2026-06-21 19:54:03.942104,0.3,0.4,14.908022318689522,True
2026-06-21 19:54:10.201151,0.3,0.5,15.0882975153907,True
2026-06-21 19:54:16.764157,0.3,0.6,15.171209694008065,True
2026-06-21 19:54:23.315879,0.3,0.65,15.18827111919014,True
2026-06-21 19:54:30.015249,0.3,0.7,15.000386482935228,True
2026-06-21 19:54:36.587633,0.3,0.8,15.018595833476315,True
2026-06-21 19:54:44.021371,0.3,0.9,14.840633443323462,True
2026-06-21 19:54:51.365050,0.3,1.0,14.832936181319665,True
2026-06-21 19:54:58.191152,0.4,0.3,14.944798008865092,True
2026-06-21 19:55:04.781531,0.4,0.4,14.996741408954506,True
2026-06-21 19:55:11.431166,0.4,0.5,15.159063046029145,True
2026-06-21 19:55:17.930987,0.4,0.6,15.203495875928565,True
2026-06-21 19:55:25.150043,0.4,0.65,15.218535899503415,True
2026-06-21 19:55:32.066116,0.4,0.7,15.020749244176628,True
2026-06-21 19:55:39.179662,0.4,0.8,14.976734950721799,True
2026-06-21 19:55:46.410833,0.4,0.9,14.802194453824578,True
2026-06-21 19:55:54.108297,0.4,1.0,14.802020688027945,True
