tested_at,dependency_threshold,and_threshold,combo_score,valid
2026-06-21 19:56:01.191840,0.5,0.3,14.683596537358452,True
2026-06-21 19:56:07.822905,0.5,0.4,14.785340991493984,True
2026-06-21 19:56:14.397509,0.5,0.5,15.001990803879123,True
2026-06-21 19:56:21.262280,0.5,0.6,15.181811413000482,True
2026-06-21 19:56:27.936023,0.5,0.65,15.176956373402476,True
2026-06-21 19:56:34.314533,0.5,0.7,14.99087416399844,True
2026-06-21 19:56:41.043864,0.5,0.8,14.882559918227814,True
2026-06-21 19:56:47.942542,0.5,0.9,14.801004861574004,True
2026-06-21 19:56:55.149054,0.5,1.0,14.80110636171702,True
2026-06-21 19:56:59.344727,0.6,0.3,11.310274903272347,True
2026-06-21 19:57:03.693098,0.6,0.4,11.35005093174755,True
2026-06-21 19:57:07.945953,0.6,0.5,11.506890267930947,True
2026-06-21 19:57:12.158712,0.6,0.6,11.293909723661866,True
2026-06-21 19:57:16.474783,0.6,0.65,11.319150485255243,True
2026-06-21 19:57:20.838372,0.6,0.7,11.2555126115649,True
2026-06-21 19:57:25.118993,0.6,0.8,11.218356229111254,True
2026-06-21 19:57:30.143299,0.6,0.9,11.309272559881862,True
2026-06-21 19:57:34.954546,0.6,1.0,11.389104458288735,True
2026-06-21 19:57:38.658028,0.7,0.3,11.326268862253407,True
2026-06-21 19:57:42.170666,0.7,0.4,11.375510936295674,True
2026-06-21 19:57:45.913276,0.7,0.5,11.351290990876073,True
2026-06-21 19:57:49.405993,0.7,0.6,11.194469877294853,True
2026-06-21 19:57:52.969237,0.7,0.65,11.200385803821527,True
2026-06-21 19:57:56.330950,0.7,0.7,11.167214707712592,True
2026-06-21 19:58:00.313540,0.7,0.8,11.157570287837592,True
2026-06-21 19:58:03.862021,0.7,0.9,11.165993223743177,True
2026-06-21 19:58:07.524713,0.7,1.0,11.283400675725217,True
2026-06-21 19:58:11.099541,0.8,0.3,10.92728917884954,True
2026-06-21 19:58:15.054756,0.8,0.4,10.951190015129033,True
2026-06-21 19:58:19.137574,0.8,0.5,10.9094344078259,True
2026-06-21 19:58:22.479988,0.8,0.6,10.70187351844652,True
2026-06-21 19:58:25.761057,0.8,0.65,10.7117993972598,True
2026-06-21 19:58:29.105544,0.8,0.7,10.70939677843622,True
2026-06-21 19:58:32.194269,0.8,0.8,10.684708981824757,True
2026-06-21 19:58:35.628056,0.8,0.9,10.68645990914847,True
2026-06-21 19:58:39.191770,0.8,1.0,10.678444925347579,True
2026-06-21 19:58:41.885229,0.9,0.3,9.339257970625994,True
2026-06-21 19:58:45.240581,0.9,0.4,9.32379579608948,True
2026-06-21 19:58:48.237991,0.9,0.5,9.325094914781957,True
2026-06-21 19:58:50.746701,0.9,0.6,9.228739557113716,True
2026-06-21 19:58:53.444008,0.9,0.65,9.223232934976343,True
2026-06-21 19:58:56.169714,0.9,0.7,9.218874421234212,True
2026-06-21 19:58:58.946223,0.9,0.8,9.218874421234212,True
2026-06-21 19:59:01.756562,0.9,0.9,9.236511775555787,True
2026-06-21 19:59:04.560622,0.9,1.0,9.236511775555787,True
2026-06-21 19:59:07.527961,0.95,0.3,9.871460662305582,True
2026-06-21 19:59:10.535129,0.95,0.4,9.871460662305582,True
2026-06-21 19:59:13.598920,0.95,0.5,9.871460662305582,True
2026-06-21 19:59:16.679823,0.95,0.6,9.792136885111336,True
2026-06-21 19:59:19.647953,0.95,0.65,9.792136885111336,True
2026-06-21 19:59:22.670278,0.95,0.7,9.792136885111336,True
2026-06-21 19:59:25.546558,0.95,0.8,9.792136885111336,True
2026-06-21 19:59:28.187417,0.95,0.9,9.792136885111336,True
2026-06-21 19:59:31.072704,0.95,1.0,9.792136885111336,True
