,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,Overall
20-29,0.9594594594594594,0.7571428571428571,0.7386363636363636,0.7476851851851851,0.7059191982461634,0.8142554051323501,0.7709298733395119,0.7941176470588236,0.660149511213341
30-39,0.819696607740086,0.94,0.7975914775358962,0.8083441981747066,0.7967356173238526,0.8758551697431264,0.8101851851851851,0.7551020408163265,0.8099773242630386
40-49,0.7506613392119041,0.7728512216404887,0.8540413533834587,0.784866488215708,0.7836539626390133,0.8197123707770688,0.7443880024450393,0.8,0.7544638496551993
50-59,0.729965988249778,0.8044444700935101,0.7389549719050569,0.8285930803804745,0.7847596076139797,0.8243157181571816,0.8149080656050196,0.7888563049853372,0.7466433999816513
60-69,0.7039195111986034,0.7361118355849983,0.7058665294184272,0.7979392101598806,0.8042657851868521,0.8191653252175664,0.8063938659442675,0.7854166666666667,0.7379176415061096
70-79,0.7567427520791945,0.7703861234797634,0.7352683585087703,0.7957095244801202,0.7893737300057312,0.8575050379740199,0.8124569410684012,0.7898936170212766,0.7753398842374478
80-89,0.7673244848061473,0.7876144745794237,0.7252817587787936,0.7553466424682396,0.8018427598847866,0.8402230432402846,0.8687982946975753,0.7976190476190477,0.7845397118673691
90-99,0.8,0.8125,0.6722222222222223,0.775,0.8888888888888888,0.857843137254902,0.9047619047619048,1.0,0.8198757763975155
Overall,0.74215226849523,0.7749309267043608,0.7347472189279136,0.7983024546941568,0.7933101318031224,0.832876304379418,0.8147115998089143,0.790470372632865,0.7543445272803071
