,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,Overall
20-29,0.7619047619047619,0.7,0.6666666666666667,0.6,0.4285714285714286,0.5454545454545454,0.5384615384615384,0.8571428571428572,0.4
30-39,0.6190476190476191,0.8723404255319149,0.7083333333333333,0.6285714285714286,0.4666666666666667,0.5609756097560976,0.5681818181818181,0.9230769230769231,0.5625
40-49,0.7195121951219512,0.7454545454545455,0.8596491228070176,0.5961538461538461,0.41891891891891897,0.5344827586206897,0.5857142857142856,0.8157894736842105,0.38749999999999996
50-59,0.7333333333333334,0.7875647668393783,0.7,0.6744186046511628,0.5382262996941896,0.6676384839650146,0.662269129287599,0.7711442786069651,0.5428571428571429
60-69,0.7234567901234568,0.7620817843866171,0.695852534562212,0.7559523809523809,0.8341463414634146,0.825974025974026,0.6701902748414377,0.9812206572769953,0.8027522935779816
70-79,0.7766666666666666,0.7834101382488479,0.7428571428571429,0.7086092715231789,0.6772334293948127,0.7887323943661972,0.7105943152454781,0.9666666666666667,0.6657608695652174
80-89,0.7766497461928934,0.7916666666666666,0.7192982456140351,0.6834862385321101,0.5458333333333334,0.6796536796536796,0.6484641638225256,0.9855072463768116,0.5551181102362205
90-99,0.5,0.6,0.5,0.5,0.4,0.4545454545454546,0.4,1.0,0.4
Overall,0.7787545787545788,0.9905263157894737,0.988296488946684,0.7213500784929356,0.8143146522619852,0.8464730290456431,0.7491082045184305,0.9438339438339438,0.9105329949238579
