,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,Overall
20-29,0.6,0.7096774193548387,0.19354838709677424,0.1472868217054264,0.5882352941176471,0.27,0.41666666666666663,0.8571428571428572,0.10025706940874035
30-39,0.62,0.8666666666666667,0.21468926553672318,0.18439716312056742,0.6585365853658536,0.30201342281879195,0.4736842105263158,0.9230769230769231,0.13249999999999995
40-49,0.6868686868686869,0.7613636363636364,0.2556962025316456,0.20481927710843373,0.7073170731707317,0.3205128205128205,0.4409448818897638,0.8157894736842105,0.1685393258426966
50-59,0.7481481481481482,0.7890625,0.25806451612903225,0.30659203980099503,0.6070460704607046,0.3547995139732685,0.6097560975609756,0.7711442786069651,0.15433161216293745
60-69,0.7948113207547169,0.8087431693989071,0.3337313432835821,0.3163265306122449,0.6483333333333333,0.4136833731105808,0.6479885057471264,0.9812206572769953,0.17632450331125826
70-79,0.7912772585669782,0.8148148148148149,0.31457208943716264,0.30536912751677847,0.6775956284153005,0.41990049751243785,0.7099644128113879,0.9666666666666667,0.1852637158759608
80-89,0.8102564102564103,0.8181818181818181,0.22924411400247835,0.3242769500438212,0.7156862745098039,0.4072790294627383,0.6517509727626459,0.9855072463768116,0.1890617633191891
90-99,0.6,0.5,0.12,0.1875,0.4285714285714286,0.26315789473684215,0.40909090909090906,1.0,0.13432835820895528
Overall,0.8314993122420908,0.9726651480637813,0.40906676111209495,0.3776048536006331,0.7093364650616558,0.4685398655139289,0.7808435159637367,0.9438339438339438,0.24970567459383097
