tested_at,noise_threshold,combo_score,valid
2026-06-21 20:02:18.913527,0.0,11.827561558824078,True
2026-06-21 20:02:35.550736,0.05,11.838123014376919,True
2026-06-21 20:02:51.909083,0.1,12.026811657857543,True
2026-06-21 20:03:07.353848,0.15,12.107270698856922,True
2026-06-21 20:03:16.735131,0.2,12.320139359804543,True
2026-06-21 20:03:24.042682,0.25,12.593214236928745,True
2026-06-21 20:03:30.922780,0.3,12.792246218740871,True
2026-06-21 20:03:37.052409,0.35,12.939486303739798,True
2026-06-21 20:03:42.302925,0.4,13.098569251187723,True
2026-06-21 20:03:48.223091,0.45,13.291304697849075,True
2026-06-21 20:03:54.008373,0.5,12.693825122805645,True
2026-06-21 20:03:59.518960,0.55,12.99299373191382,True
2026-06-21 20:04:04.710587,0.6,13.163562344395585,True
2026-06-21 20:04:11.323875,0.65,12.805737092221074,True
2026-06-21 20:04:17.808323,0.7,12.647947577802622,True
2026-06-21 20:04:23.118542,0.75,12.302660768281024,True
2026-06-21 20:04:28.834888,0.8,12.23191587074074,True
2026-06-21 20:04:33.925013,0.85,12.209174523568032,True
2026-06-21 20:04:37.529177,0.9,12.4221942406548,True
2026-06-21 20:04:41.232457,0.95,12.386580344063946,True
2026-06-21 20:04:44.375407,1.0,9.725481599154628,True
