,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,Overall
20-29,0.9339674410096945,0.7717013888888888,0.8481907894736842,0.928229276609564,0.781374321880651,0.8625247851949769,0.7518796992481203,0.7941176470588236,0.9235278080697928
30-39,0.6929851199514121,0.9590971272229822,0.9027255639097744,0.9328157113496232,0.8391551929287779,0.9316919929865576,0.7753099634287753,0.7551020408163265,0.8511501210653754
40-49,0.6855584769695199,0.7896319181449738,0.8787692307692307,0.898905138655798,0.8121817469643556,0.8507193041150887,0.7748120863094126,0.8,0.8834122988846116
50-59,0.6502220473701056,0.761569161064809,0.7904561247874622,0.9312430080708831,0.8503449066382293,0.8804460580912863,0.8103532979173522,0.7888563049853372,0.9268003529946247
60-69,0.6784585156270467,0.7528267176667892,0.8016256509616669,0.8928081475992324,0.8580766349254606,0.8665989660265878,0.8424173773262523,0.7854166666666667,0.9460433135704875
70-79,0.6785375823144134,0.7838228345025626,0.811110454115421,0.8928254788739306,0.8500722175126847,0.9035000460532375,0.8340744795968676,0.7898936170212766,0.9254465000587149
80-89,0.7045239556169147,0.771464611934584,0.7980179547805527,0.9008794397605363,0.8067481884057971,0.8805647147209816,0.9000554010602242,0.7976190476190477,0.9095925866832804
90-99,0.775,0.696969696969697,0.8,0.8723684210526316,0.8125,0.8461538461538461,1.0,1.0,1.0
Overall,0.6830205622943802,0.7723426224946861,0.8086832645681299,0.9049583431733689,0.8437380418932221,0.8803665095158397,0.8356603407937684,0.790470372632865,0.9279504215358052
